accountid, action, ordertype, quantity, time
"865555483,B,M,605,2015-08-13 15:49:06"
"865555259,B,M,400,2015-08-13 15:49:07"
"865516913,B,M,400,2015-08-13 15:49:08"
"865555483,S,M,1127,2015-08-14 08:14:07"
"865555259,S,M,400,2015-08-14 08:14:08"
"865516913,S,M,400,2015-08-14 08:14:09"
"865555483,B,M,619,2015-08-14 15:45:05"
"865555259,B,M,400,2015-08-14 15:45:06"
"865516913,B,M,400,2015-08-14 15:45:07"
"865555483,S,M,119,2015-08-17 08:14:08"
"865555259,S,M,400,2015-08-17 08:14:09"
"865516913,S,M,400,2015-08-17 08:14:10"
"865555483,B,M,1101,2015-08-17 15:45:06"
"865555259,B,M,400,2015-08-17 15:45:07"
"865516913,B,M,400,2015-08-17 15:45:08"
"865555483,S,M,1101,2015-08-18 08:14:08"
"865555259,S,M,400,2015-08-18 08:14:10"
"865516913,S,M,400,2015-08-18 08:14:11"
"865555483,B,M,1100,2015-08-18 15:45:07"
"865555259,B,M,400,2015-08-18 15:45:08"
"865516913,B,M,400,2015-08-18 15:45:10"
"865555483,S,M,1100,2015-08-19 08:14:08"
"865555259,S,M,400,2015-08-19 08:14:10"
"865516913,S,M,400,2015-08-19 08:14:12"
"865555483,S,M,1100,2015-08-20 08:14:08"
"865555259,S,M,400,2015-08-20 08:14:09"
"865516913,S,M,400,2015-08-20 08:14:10"
"865555483,B,M,612,2015-08-20 15:45:07"
"865555259,B,M,400,2015-08-20 15:45:09"
"865516913,B,M,400,2015-08-20 15:45:10"
"865555483,S,M,1112,2015-08-21 08:14:09"
"865555259,S,M,400,2015-08-21 08:14:10"
"865516913,S,M,400,2015-08-21 08:14:12"
"865555483,S,M,1120,2015-08-24 08:14:09"
"865555259,S,M,400,2015-08-24 08:14:10"
"865516913,S,M,400,2015-08-24 08:14:11"
"865555483,S,M,1085,2015-08-25 08:14:09"
"865555259,B,M,400,2015-08-25 15:47:09"
"865516913,B,M,400,2015-08-25 15:47:10"
"865555483,S,M,1120,2015-08-26 08:14:08"
"865555259,S,M,400,2015-08-26 08:14:09"
"865516913,S,M,400,2015-08-26 08:14:10"
"865555259,B,M,400,2015-08-26 15:47:08"
"865516913,B,M,400,2015-08-26 15:47:09"
"865555483,S,M,1115,2015-08-27 08:14:08"
"865555259,S,M,400,2015-08-27 08:14:09"
"865516913,S,M,400,2015-08-27 08:14:11"
"865555483,B,M,401,2015-08-27 15:47:07"
"865555259,B,M,400,2015-08-27 15:47:09"
"865516913,B,M,400,2015-08-27 15:47:10"
"865555483,S,M,500,2015-08-27 23:40:33"
"865555259,S,M,400,2015-08-27 23:40:35"
"865516913,S,M,400,2015-08-27 23:40:36"
"865555483,S,M,500,2015-08-27 23:41:39"
"865555259,S,M,400,2015-08-27 23:41:40"
"865516913,S,M,400,2015-08-27 23:41:41"
"865555483,S,M,500,2015-08-28 08:14:09"
"865555259,S,M,400,2015-08-28 08:14:11"
"865516913,S,M,400,2015-08-28 08:14:12"
"865555483,B,M,695,2015-08-28 15:47:06"
"865555259,B,M,400,2015-08-28 15:47:08"
"865516913,B,M,400,2015-08-28 15:47:09"
"865555483,B,M,596,2015-08-31 15:47:06"
"865555259,B,M,400,2015-08-31 15:47:07"
"865555483,S,M,515,2015-09-10 07:14:06"
"865555259,S,M,200,2015-09-10 07:14:07"
"865555483,B,M,509,2015-09-10 15:47:10"
"865555259,B,M,200,2015-09-10 15:47:13"
