"time","ticker","bid","ask","last","open","close"
2015-08-20 09:30:05,"AAPL","114.06","114.12","114.07","114.08","115.01"
2015-08-20 15:59:04,"AAPL","112.89","112.90","112.89","114.08","115.01"
2015-08-20 16:03:03,"AAPL","112.55","112.60","112.65","114.08","115.01"
2015-08-21 08:01:04,"AAPL","111.31","111.32","112.65",NA,"112.65"
2015-08-21 09:30:05,"AAPL","110.43","110.43","110.43","110.43","112.65"
2015-08-24 08:01:04,"AAPL","99.87","99.92","105.76",NA,"105.76"
2015-08-24 09:30:05,"AAPL","95.90","95.99","95.82","94.87","105.76"
2015-08-25 08:01:04,"AAPL","109.21","109.40","103.12",NA,"103.12"
2015-08-25 09:30:03,"AAPL","110.58","110.59","110.58","111.11","103.12"
2015-08-26 08:01:03,"AAPL","106.31","106.40","103.74",NA,"103.74"
2015-08-26 09:30:05,"AAPL","107.17","107.29","107.23","107.085","103.74"
2015-08-27 08:01:03,"AAPL","111.38","111.40","109.69",NA,"109.69"
2015-08-27 09:30:06,"AAPL","112.00","112.04","112.02","112.23","109.69"
2015-08-27 15:59:04,"AAPL","112.76","112.79","112.7649","112.23","109.69"
2015-08-27 16:03:04,"AAPL","112.72","112.82","112.844","112.23","109.69"
2015-08-28 08:01:03,"AAPL","112.11","112.17","112.92",NA,"112.92"
2015-08-28 09:30:04,"AAPL","112.14","112.16","112.15","112.17","112.92"
2015-08-28 15:59:05,"AAPL","113.16","113.17","113.16","112.17","112.92"
2015-08-28 16:03:04,"AAPL","113.31","113.40","113.29","112.17","112.92"
2015-08-31 15:59:05,"AAPL","112.93","112.94","112.932","112.03","113.29"
2015-08-31 16:03:03,"AAPL","112.78","112.83","112.76","112.03","113.29"
2015-09-04 08:01:06,"AAPL","109.64","109.70","110.37",NA,"110.37"
2015-09-04 09:30:05,"AAPL","109.01","109.09","109.03","108.97","110.37"
2015-09-04 15:59:06,"AAPL","109.35","109.36","109.35","108.97","110.37"
2015-09-04 16:03:04,"AAPL","109.28","109.33","109.27","108.97","110.37"
2015-09-07 08:01:06,"AAPL","111.55","111.55","109.27","108.97","109.27"
2015-09-09 09:30:08,"AAPL","113.33","113.36","113.343","113.76","112.31"
2015-09-09 15:59:05,"AAPL","109.97","109.97","109.92","113.76","112.31"
2015-09-09 16:03:05,"AAPL","110.07","110.08","110.15","113.76","112.31"
2015-09-10 08:01:05,"AAPL","110.15","110.20","110.15",NA,"110.15"
2015-09-10 09:30:08,"AAPL","110.21","110.24","110.24","110.27","110.15"
2015-09-11 08:01:07,"AAPL","111.87","111.89","112.57",NA,"112.57"
2015-09-11 09:30:05,"AAPL","111.96","111.98","111.97","111.79","112.57"
2015-09-11 15:59:05,"AAPL","114.02","114.03","114.03","111.79","112.57"
2015-09-11 16:03:04,"AAPL","114.01","114.06","114.017","111.79","112.57"
2015-09-14 15:59:05,"AAPL","115.35","115.36","115.36","116.58","114.21"
2015-09-14 16:03:04,"AAPL","115.21","115.25","115.30","116.58","114.21"
2015-09-15 08:01:04,"AAPL","115.64","115.66","115.31",NA,"115.31"
